,date,jalore,churu,barmer,jaisalmer,ajmer,ganganagar,sikar,bikaner
155,1901-06-05,0.0,0.0,0.0,0.0,0.5992,0.0,0.0,0.0
156,1901-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1901-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1901-06-08,0.0,0.0,0.6725,0.487,0.0,0.0,0.0,0.0
159,1901-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1901-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1901-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1901-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,1901-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,1901-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1901-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0
166,1901-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.2151,0.0
167,1901-06-17,0.0,0.2961,0.0,0.0,0.0,0.0,0.0,0.0
168,1901-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,1901-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,1901-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,1901-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1901-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1901-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1901-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1901-06-25,0.5529,0.0,0.0,0.0,0.3288,0.0,0.2193,0.0
176,1901-06-26,0.0,0.0,0.0,0.0,1.267,0.0,0.0,0.0
177,1901-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1901-06-28,0.0,0.0,0.0,0.0,2.3651,0.0,0.0,0.0
179,1901-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1901-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,1901-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,1901-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,1901-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1901-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,1901-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1901-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1901-07-07,0.373,1.9728,0.0,0.0,13.6529,0.0,6.3603,0.0
188,1901-07-08,0.9974,1.6948,5.6131,2.1578,11.3451,0.0,0.5899,21.0806
189,1901-07-09,0.0,0.7023,2.8307,0.312,2.703,0.0,4.8893,11.8957
190,1901-07-10,2.6825,7.8204,0.0,0.0,0.0,0.0,1.6668,2.7964
191,1901-07-11,0.0,3.0725,0.0,0.0,3.6676,2.8035,5.2993,5.3113
192,1901-07-12,0.0,3.4256,0.0,0.0,0.0,4.8183,4.1938,0.0
193,1901-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1901-07-14,0.0,0.0,0.0,0.0,0.0,8.828,0.0,0.0
195,1901-07-15,0.0,0.0,0.0,0.0,0.0,1.6162,0.0,0.0
196,1901-07-16,0.0,4.7347,0.0,0.0,0.0,0.0,15.2646,0.0
197,1901-07-17,0.0,0.0,0.0,0.0,0.0,0.0,2.7858,0.0
198,1901-07-18,0.0,0.0,0.0,0.0,7.2332,0.0,0.0,0.0
199,1901-07-19,0.0,0.5734,0.0,0.0,33.1357,0.0,0.0,0.0
200,1901-07-20,0.0,0.0,0.0,0.0,0.0,6.9856,1.6864,0.0
201,1901-07-21,0.0,0.0,0.0,0.0,0.0,10.4912,0.0,0.0
202,1901-07-22,0.0,1.6599,0.0,0.0,0.0,4.3127,5.9953,0.0
203,1901-07-23,0.0,2.262,0.0,0.0,0.1461,0.0,5.1903,0.0
204,1901-07-24,0.8263,5.1098,0.0,0.0,4.8147,0.0,2.6655,8.8885
205,1901-07-25,4.1025,0.8226,0.0,0.0,4.074,0.0,2.6272,0.0
206,1901-07-26,0.8467,0.3224,0.8401,0.0,1.4941,2.7344,0.0,0.0
207,1901-07-27,1.9286,0.9812,1.5252,0.1445,0.0,31.9528,0.8303,1.9975
208,1901-07-28,1.1896,1.8367,0.6116,33.356,11.646,0.0,6.2514,0.0
209,1901-07-29,3.9029,1.932,14.2748,21.3496,9.0606,0.3383,17.5098,0.0
210,1901-07-30,11.8898,0.0,22.7755,2.7305,23.943,23.2589,0.0,0.898
211,1901-07-31,1.7787,0.0,0.0,22.3501,0.3398,0.0,1.6298,12.6839
212,1901-08-01,0.0,0.4434,0.0,0.0,0.0,0.0,0.8773,0.0
213,1901-08-02,0.4121,0.1088,0.0,0.0,12.4187,1.8027,0.467,0.0
214,1901-08-03,2.8277,0.517,0.0,0.0,2.0648,0.0,5.055,0.0
215,1901-08-04,11.4983,2.031,0.0,0.0,0.0,0.0,3.1143,0.0
216,1901-08-05,3.4315,5.3897,0.6125,0.0,1.6932,0.0,0.1394,0.799
217,1901-08-06,0.4121,17.5448,0.1111,0.0,28.0424,0.0,9.836,0.0
218,1901-08-07,0.0,17.5906,0.0,0.0,10.9387,0.0,49.3439,0.0
219,1901-08-08,0.3418,0.0,0.0,0.0,0.549,0.0,0.0,0.0
220,1901-08-09,0.0,0.0,0.0,0.0,0.0,0.6142,0.0,0.0
221,1901-08-10,0.0,0.0,0.0,0.0,0.0,1.6513,0.0,0.0
222,1901-08-11,0.0,0.7333,0.0,0.0,1.1334,0.0,0.0,0.0
223,1901-08-12,0.3832,0.0,0.0,0.0,0.0,0.0,0.8031,0.0
224,1901-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,1901-08-14,8.4442,1.8561,0.3683,0.0,8.9977,0.0,9.8875,0.0
226,1901-08-15,4.6924,0.7511,3.3845,0.0,19.4928,0.1047,2.12,61.434
227,1901-08-16,4.7191,0.0,5.0615,0.5179,34.5868,0.0,1.2487,0.0
228,1901-08-17,5.7272,0.3129,2.2205,8.5839,4.4109,13.0808,1.0089,5.793
229,1901-08-18,4.6562,0.0,2.9978,0.1276,7.9148,0.913,0.0,1.2984
230,1901-08-19,5.9991,0.2449,0.0,0.0,0.7439,0.0,4.0491,0.0
231,1901-08-20,2.0451,0.8834,0.0,0.0,0.0,0.0,0.5702,0.0
232,1901-08-21,0.0,0.8884,0.0,0.0,0.0,0.0,0.1394,0.0
233,1901-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1901-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,1901-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,1901-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1901-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1901-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1901-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1901-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1901-08-30,0.0,0.2449,0.0,0.0,2.154,0.0,0.7895,0.0
242,1901-08-31,0.1769,0.8708,0.0,0.0,0.0,0.0,2.8073,0.0
243,1901-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.6452,0.0
244,1901-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,1901-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1901-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,1901-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1901-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1901-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1901-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1901-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1901-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,1901-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,1901-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1901-09-13,0.0,0.2397,0.0,0.0,0.2716,0.0,0.4386,0.0
256,1901-09-14,0.614,0.0,0.0,0.0,2.703,0.0,0.0,0.0
257,1901-09-15,6.4575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,1901-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,1901-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,1901-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,1901-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,1901-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,1901-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,1901-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,1901-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,1901-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1901-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,1901-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,1901-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,1901-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,1901-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,1901-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,1901-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,1901-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,1901-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,1901-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,1901-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,1901-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,1901-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,1901-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,1901-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,1901-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,1901-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,1901-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,1901-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1901-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,1901-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,1901-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,1901-10-17,0.0,0.0,0.0,0.0,8.8538,0.0,0.0,0.0
290,1901-10-18,0.4161,0.0,0.0,0.0,1.4561,0.0,0.353,0.0
291,1901-10-19,0.0,0.0,0.0,0.0,5.3638,0.0,0.0,0.0
292,1901-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1901-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,1901-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,1901-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,1901-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,1901-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,1901-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,1901-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,1901-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,1901-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,1901-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,1901-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,1901-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,1901-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,1901-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,1901-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,1901-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,1901-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,1901-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1901-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,1901-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,1901-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,1901-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,1901-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,1901-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,1901-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,1901-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,1901-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,1901-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,1901-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,1901-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,1901-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,1901-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,1901-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,1901-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,1901-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,1901-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,1901-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,1901-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,1901-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
